id,status,currency,country_code,country_name
2416,success,NGN,NG,Nigeria
2417,abandoned,NGN,null,null
2418,abandoned,NGN,null,null
2419,abandoned,NGN,null,null
2420,success,NGN,US,United States
2421,abandoned,USD,null,null
2422,abandoned,USD,null,null
2423,abandoned,NGN,null,null
2424,success,USD,GB,United Kingdom
2425,abandoned,NGN,null,null
2426,abandoned,NGN,null,null
2427,success,NGN,NG,Nigeria
2428,failed,NGN,CA,Canada
2429,abandoned,NGN,null,null
2430,abandoned,NGN,null,null
2431,abandoned,NGN,null,null
2432,abandoned,NGN,null,null
2433,abandoned,USD,US,United States
2434,abandoned,NGN,null,null
2435,abandoned,USD,null,null
2436,success,USD,GB,United Kingdom
2437,abandoned,NGN,null,null
2438,success,NGN,NG,Nigeria
2439,success,NGN,NG,Nigeria
2440,success,NGN,NG,Nigeria
2441,success,NGN,NG,Nigeria
2442,failed,NGN,NG,Nigeria
2443,success,NGN,NG,Nigeria
2444,success,NGN,NG,Nigeria
2445,abandoned,NGN,null,null
2446,abandoned,NGN,null,null
2447,abandoned,NGN,null,null
2448,success,USD,US,United States
2449,success,NGN,NG,Nigeria
2450,success,NGN,NG,Nigeria
2451,abandoned,NGN,null,null
2452,abandoned,NGN,null,null
2453,abandoned,NGN,null,null
2454,abandoned,NGN,null,null
2455,success,NGN,NG,Nigeria
2456,failed,USD,US,United States
2457,abandoned,NGN,null,null
2458,failed,USD,NG,Nigeria
2459,success,NGN,NG,Nigeria
2460,abandoned,NGN,null,null
2461,failed,NGN,NG,Nigeria
2462,abandoned,NGN,null,null
2463,failed,NGN,NG,Nigeria
2464,failed,NGN,NG,Nigeria
2465,success,NGN,NG,Nigeria
2466,success,NGN,NG,Nigeria
2467,abandoned,NGN,null,null
2468,abandoned,NGN,NG,Nigeria
2469,abandoned,NGN,null,null
2470,success,NGN,NG,Nigeria
2471,success,NGN,NG,Nigeria
2472,success,NGN,NG,Nigeria
2473,success,NGN,NG,Nigeria
2474,abandoned,NGN,null,null
2475,abandoned,NGN,null,null
2476,success,NGN,NG,Nigeria
2477,success,USD,US,United States
2478,success,NGN,NG,Nigeria
2479,success,NGN,NG,Nigeria
2480,abandoned,USD,null,null
2481,abandoned,NGN,null,null
2482,abandoned,NGN,null,null
2483,abandoned,NGN,null,null
2484,success,USD,US,United States
2485,success,NGN,NG,Nigeria
2486,success,NGN,NG,Nigeria
2487,abandoned,NGN,null,null
2488,abandoned,USD,null,null
2489,failed,NGN,NG,Nigeria
2490,abandoned,USD,null,null
2491,abandoned,NGN,null,null
2492,failed,NGN,NG,Nigeria
2493,success,NGN,NG,Nigeria
2494,success,NGN,NG,Nigeria
2495,success,USD,GB,United Kingdom
2496,abandoned,NGN,null,null
2497,abandoned,NGN,null,null
2498,failed,NGN,US,United States
2499,success,NGN,NG,Nigeria
2500,abandoned,NGN,NG,Nigeria
2501,success,NGN,NG,Nigeria
2502,success,NGN,NG,Nigeria
2503,abandoned,NGN,null,null
2504,abandoned,NGN,null,null
2505,failed,NGN,NG,Nigeria
2506,success,NGN,NG,Nigeria
2507,success,NGN,NG,Nigeria
2508,success,NGN,NG,Nigeria
2509,success,NGN,NG,Nigeria
2510,abandoned,USD,null,null
2511,abandoned,NGN,US,United States
2512,failed,NGN,NG,Nigeria
2513,abandoned,NGN,null,null
2514,abandoned,NGN,null,null
2515,abandoned,NGN,null,null
2516,success,NGN,NG,Nigeria
2517,abandoned,NGN,null,null
2518,success,USD,US,United States
2519,abandoned,NGN,null,null
2520,success,NGN,GB,Nigeria
2521,success,NGN,NG,Nigeria
2522,success,NGN,NG,Nigeria
2523,abandoned,NGN,null,null
2524,abandoned,USD,US,United States
2525,abandoned,USD,null,null
2526,failed,NGN,NG,Nigeria
2527,failed,NGN,NG,Nigeria
2528,abandoned,NGN,null,null
2529,success,NGN,NG,Nigeria
2530,success,NGN,NG,Nigeria
2531,abandoned,NGN,null,null
2532,abandoned,NGN,null,null
2533,success,NGN,NG,Nigeria
2534,failed,NGN,NG,Nigeria
2535,success,NGN,NG,Nigeria
2536,failed,USD,US,United States
2537,abandoned,NGN,null,null
2538,success,NGN,NG,Nigeria
2539,failed,NGN,NG,Nigeria
2540,success,NGN,NG,Nigeria
2541,failed,NGN,NG,Nigeria
2542,success,NGN,NG,Nigeria
2543,success,NGN,NG,Nigeria
2544,success,NGN,NG,Nigeria
2545,success,NGN,NG,Nigeria
2546,success,NGN,NG,Nigeria
2547,abandoned,NGN,null,null
2548,abandoned,NGN,NG,Nigeria
2549,failed,NGN,NG,Nigeria
2550,success,USD,GB,United Kingdom
2551,abandoned,NGN,null,null
2552,success,NGN,NG,Nigeria
2553,abandoned,NGN,null,null
2554,failed,NGN,NG,Nigeria
2555,abandoned,NGN,null,null
2556,success,NGN,NG,Nigeria
2557,success,NGN,NG,Nigeria
2558,success,NGN,US,United States
2559,success,NGN,NG,Nigeria
2560,abandoned,NGN,null,null
2561,abandoned,USD,null,null
2562,failed,NGN,US,United States
2563,success,NGN,NG,Nigeria
2564,failed,NGN,NG,Nigeria
2565,abandoned,NGN,NG,Nigeria
2566,success,NGN,NG,Nigeria
2567,success,NGN,NG,Nigeria
2568,abandoned,NGN,null,null
2569,abandoned,NGN,null,null
2570,failed,NGN,NG,Nigeria
2571,reversed,USD,GB,United Kingdom
2572,failed,NGN,NG,Nigeria
2573,success,NGN,NG,Nigeria
2574,success,NGN,NG,Nigeria
2575,success,NGN,NG,Nigeria
2576,abandoned,NGN,null,null
2577,success,NGN,NG,Nigeria
2578,abandoned,USD,null,null
2579,abandoned,NGN,null,null
2580,success,NGN,NG,Nigeria
2581,success,NGN,NG,Nigeria
2582,success,NGN,GB,United Kingdom
2583,success,NGN,NG,Nigeria
2584,abandoned,NGN,null,null
2585,success,NGN,NG,Nigeria
2586,success,USD,CA,Canada
2587,failed,NGN,NG,Nigeria
2588,success,NGN,NG,Nigeria
2589,abandoned,USD,GB,United Kingdom
2590,success,NGN,NG,Nigeria
2591,abandoned,NGN,null,null
2592,success,NGN,NG,Nigeria
2593,success,NGN,NG,Nigeria
2594,abandoned,NGN,null,null
2595,abandoned,NGN,null,null
2596,success,NGN,NG,Nigeria
2597,abandoned,NGN,null,null
2598,success,NGN,NG,Nigeria
2599,abandoned,NGN,null,null
2600,success,NGN,NG,Nigeria
2601,abandoned,NGN,null,null
2602,success,NGN,NG,Nigeria
2603,success,NGN,NG,Nigeria
2604,abandoned,NGN,null,null
2605,abandoned,NGN,null,null
2606,success,USD,US,United States
2607,success,NGN,NG,Nigeria
2608,abandoned,NGN,null,null
2609,success,NGN,NG,Nigeria
2610,failed,NGN,NG,Nigeria
2611,abandoned,NGN,null,null
2612,abandoned,USD,null,null
2613,failed,NGN,NG,Nigeria
2614,success,NGN,NG,Nigeria
2615,abandoned,USD,null,null
2616,failed,NGN,US,United States
2617,success,NGN,NG,Nigeria
2618,abandoned,NGN,null,null
2619,failed,NGN,NG,Nigeria
