id,status,currency,country_code,country_name
478,success,NGN,NG,Nigeria
479,success,USD,US,United States
486,success,NGN,NG,Nigeria
487,success,NGN,NG,Nigeria
488,failed,NGN,NG,Nigeria
491,success,NGN,NG,Nigeria
493,abandoned,NGN,NG,Nigeria
495,success,NGN,NG,Nigeria
497,failed,NGN,NG,Nigeria
498,success,NGN,NG,Nigeria
501,success,NGN,NG,Nigeria
505,success,NGN,NG,Nigeria
508,failed,NGN,NG,Nigeria
510,success,NGN,NG,Nigeria
512,success,NGN,NG,Nigeria
514,failed,NGN,NG,Nigeria
517,success,NGN,NG,Nigeria
518,success,NGN,NG,Nigeria
519,success,NGN,NG,Nigeria
520,success,NGN,NG,Nigeria
521,abandoned,NGN,NG,Nigeria
522,failed,USD,US,United States
523,success,NGN,NG,Nigeria
525,success,NGN,NG,Nigeria
526,success,NGN,NG,Nigeria
527,success,NGN,NG,Nigeria
529,success,NGN,NG,Nigeria
532,abandoned,NGN,NG,Nigeria
533,success,NGN,NG,Nigeria
534,failed,USD,US,United States
535,failed,NGN,NG,Nigeria
536,success,USD,GB,United Kingdom
538,failed,USD,US,United States
539,success,NGN,NG,Nigeria
540,success,NGN,NG,Nigeria
543,success,NGN,NG,Nigeria
544,success,NGN,NG,Nigeria
546,reversed,NGN,NG,Nigeria
548,success,NGN,NG,Nigeria
551,abandoned,USD,US,United States
552,success,NGN,NG,Nigeria
554,success,NGN,NG,Nigeria
556,success,NGN,NG,Nigeria
559,success,USD,US,United States
561,success,NGN,NG,Nigeria
563,failed,USD,US,United States
566,failed,NGN,NG,Nigeria
568,success,NGN,NG,Nigeria
569,failed,NGN,GB,United Kingdom
571,success,NGN,NG,Nigeria
575,success,USD,US,United States
577,abandoned,USD,FR,Nigeria
578,failed,NGN,NG,Nigeria
579,success,NGN,GB,United Kingdom
581,failed,NGN,NG,Nigeria
583,success,NGN,NG,Nigeria
584,success,NGN,NG,Nigeria
588,success,NGN,NG,Nigeria
589,success,NGN,NG,Nigeria
590,success,NGN,NG,Nigeria
591,failed,NGN,NG,Nigeria
593,success,NGN,NG,Nigeria
594,abandoned,NGN,NG,Nigeria
596,success,NGN,NG,Nigeria
598,success,NGN,NG,Nigeria
599,success,NGN,NG,Nigeria
602,success,NGN,NG,Nigeria
605,success,NGN,NG,Nigeria
607,failed,NGN,NG,Nigeria
608,success,NGN,NG,Nigeria
609,failed,USD,US,United States
610,success,NGN,NG,Nigeria
611,success,NGN,NG,Nigeria
612,abandoned,NGN,NG,Nigeria
614,failed,NGN,NG,Nigeria
615,success,NGN,NG,Nigeria
616,success,NGN,NG,Nigeria
617,success,NGN,NG,Nigeria
619,success,NGN,NG,Nigeria
622,abandoned,USD,GB,United Kingdom
625,success,NGN,NG,Nigeria
626,success,NGN,NG,Nigeria
628,abandoned,USD,US,United States
629,failed,NGN,GB,United Kingdom
633,success,NGN,NG,Nigeria
635,success,NGN,NG,Nigeria
637,failed,NGN,NG,Nigeria
638,success,NGN,NG,Nigeria
639,success,NGN,NG,Nigeria
